Well;Fluor;Sample;Cq;SQ;Target;SQ_reelle;LOG_SQ
A01;FAM;D2;22,46;20000;PACU;2;0,301029996
A02;FAM;D2;22,34;20000;PACU;2;0,301029996
A03;FAM;D2;22,24;20000;PACU;2;0,301029996
A04;FAM;D2;22,32;20000;PACU;2;0,301029996
A05;FAM;D2;22,17;20000;PACU;2;0,301029996
A06;FAM;D2;22,05;20000;PACU;2;0,301029996
A07;FAM;D2;21,79;20000;PACU;2;0,301029996
A08;FAM;D2;21,6;20000;PACU;2;0,301029996
A09;FAM;D2;21,5;20000;PACU;2;0,301029996
A10;FAM;D2;21,31;20000;PACU;2;0,301029996
B01;FAM;D3;24,97;2000;PACU;0,2;-0,698970004
B02;FAM;D3;24,91;2000;PACU;0,2;-0,698970004
B03;FAM;D3;24,9;2000;PACU;0,2;-0,698970004
B04;FAM;D3;24,95;2000;PACU;0,2;-0,698970004
B05;FAM;D3;24,86;2000;PACU;0,2;-0,698970004
B06;FAM;D3;24,82;2000;PACU;0,2;-0,698970004
B07;FAM;D3;24,91;2000;PACU;0,2;-0,698970004
B08;FAM;D3;24,8;2000;PACU;0,2;-0,698970004
B09;FAM;D3;24,78;2000;PACU;0,2;-0,698970004
B10;FAM;D3;24,87;2000;PACU;0,2;-0,698970004
C01;FAM;D4;28,44;200;PACU;0,02;-1,698970004
C02;FAM;D4;28,26;200;PACU;0,02;-1,698970004
C03;FAM;D4;28,24;200;PACU;0,02;-1,698970004
C04;FAM;D4;28,12;200;PACU;0,02;-1,698970004
C05;FAM;D4;28,26;200;PACU;0,02;-1,698970004
C06;FAM;D4;28,24;200;PACU;0,02;-1,698970004
C07;FAM;D4;28,19;200;PACU;0,02;-1,698970004
C08;FAM;D4;28,1;200;PACU;0,02;-1,698970004
C09;FAM;D4;28,17;200;PACU;0,02;-1,698970004
C10;FAM;D4;28,14;200;PACU;0,02;-1,698970004
D01;FAM;D5;32,16;20;PACU;0,002;-2,698970004
D02;FAM;D5;31,8;20;PACU;0,002;-2,698970004
D03;FAM;D5;31,8;20;PACU;0,002;-2,698970004
D04;FAM;D5;31,31;20;PACU;0,002;-2,698970004
D05;FAM;D5;31,76;20;PACU;0,002;-2,698970004
D06;FAM;D5;31,83;20;PACU;0,002;-2,698970004
D07;FAM;D5;31,57;20;PACU;0,002;-2,698970004
D08;FAM;D5;31,71;20;PACU;0,002;-2,698970004
D09;FAM;D5;31,75;20;PACU;0,002;-2,698970004
D10;FAM;D5;31,85;20;PACU;0,002;-2,698970004
E01;FAM;D6;34,88;2;PACU;0,0002;-3,698970004
E02;FAM;D6;35,13;2;PACU;0,0002;-3,698970004
E03;FAM;D6;35,38;2;PACU;0,0002;-3,698970004
E04;FAM;D6;35,17;2;PACU;0,0002;-3,698970004
E05;FAM;D6;35,29;2;PACU;0,0002;-3,698970004
E06;FAM;D6;34,29;2;PACU;0,0002;-3,698970004
E07;FAM;D6;35,58;2;PACU;0,0002;-3,698970004
E08;FAM;D6;35,09;2;PACU;0,0002;-3,698970004
E09;FAM;D6;35,34;2;PACU;0,0002;-3,698970004
E10;FAM;D6;35,27;2;PACU;0,0002;-3,698970004
F01;FAM;D7;37,22;0,2;PACU;0,00002;-4,698970004
F02;FAM;D7;37,19;0,2;PACU;0,00002;-4,698970004
F03;FAM;D7;37,66;0,2;PACU;0,00002;-4,698970004
F04;FAM;D7;36,85;0,2;PACU;0,00002;-4,698970004
F05;FAM;D7;37,25;0,2;PACU;0,00002;-4,698970004
F06;FAM;D7;36,77;0,2;PACU;0,00002;-4,698970004
F07;FAM;D7;37,22;0,2;PACU;0,00002;-4,698970004
F08;FAM;D7;37,73;0,2;PACU;0,00002;-4,698970004
F09;FAM;D7;37,58;0,2;PACU;0,00002;-4,698970004
F10;FAM;D7;37,47;0,2;PACU;0,00002;-4,698970004
G01;FAM;D8;39,82;0,02;PACU;0,000002;-5,698970004
G02;FAM;D8;38,37;0,02;PACU;0,000002;-5,698970004
G03;FAM;D8;38,76;0,02;PACU;0,000002;-5,698970004
G04;FAM;D8;39,15;0,02;PACU;0,000002;-5,698970004
G05;FAM;D8;40,05;0,02;PACU;0,000002;-5,698970004
G06;FAM;D8;40,24;0,02;PACU;0,000002;-5,698970004
G07;FAM;D8;41,13;0,02;PACU;0,000002;-5,698970004
G08;FAM;D8;38,26;0,02;PACU;0,000002;-5,698970004
G09;FAM;D8;38,12;0,02;PACU;0,000002;-5,698970004
G10;FAM;D8;39,11;0,02;PACU;0,000002;-5,698970004
H01;FAM;D9;0;0,002;PACU;0,0000002;-6,698970004
H02;FAM;D9;0;0,002;PACU;0,0000002;-6,698970004
H03;FAM;D9;0;0,002;PACU;0,0000002;-6,698970004
H04;FAM;D9;0;0,002;PACU;0,0000002;-6,698970004
H05;FAM;D9;0;0,002;PACU;0,0000002;-6,698970004
H06;FAM;D9;40,32;0,002;PACU;0,0000002;-6,698970004
H07;FAM;D9;0;0,002;PACU;0,0000002;-6,698970004
H08;FAM;D9;0;0,002;PACU;0,0000002;-6,698970004
H09;FAM;D9;0;0,002;PACU;0,0000002;-6,698970004
H10;FAM;D9;41,08;0,002;PACU;0,0000002;-6,698970004
A11;FAM;D10;41,35;0,0002;PACU;0,00000002;-7,698970004
A12;FAM;D10;0;0,0002;PACU;0,00000002;-7,698970004
A13;FAM;D10;0;0,0002;PACU;0,00000002;-7,698970004
A14;FAM;D10;0;0,0002;PACU;0,00000002;-7,698970004
A15;FAM;D10;0;0,0002;PACU;0,00000002;-7,698970004
A16;FAM;D10;41,25;0,0002;PACU;0,00000002;-7,698970004
A17;FAM;D10;41,84;0,0002;PACU;0,00000002;-7,698970004
A18;FAM;D10;40,63;0,0002;PACU;0,00000002;-7,698970004
A19;FAM;D10;0;0,0002;PACU;0,00000002;-7,698970004
A20;FAM;D10;0;0,0002;PACU;0,00000002;-7,698970004
