Well;Fluor;Sample;Cq;SQ;Target;SQ_reelle;LOG_SQ
A01;FAM;D2;23,08;20000;PZON;2;0,301029996
A02;FAM;D2;23,19;20000;PZON;2;0,301029996
A03;FAM;D2;23,04;20000;PZON;2;0,301029996
A04;FAM;D2;23,04;20000;PZON;2;0,301029996
A05;FAM;D2;23,01;20000;PZON;2;0,301029996
A06;FAM;D2;22,91;20000;PZON;2;0,301029996
A07;FAM;D2;23,03;20000;PZON;2;0,301029996
A08;FAM;D2;24,31;20000;PZON;2;0,301029996
A09;FAM;D2;23,09;20000;PZON;2;0,301029996
A10;FAM;D2;23,04;20000;PZON;2;0,301029996
B01;FAM;D3;26,66;2000;PZON;0,2;-0,698970004
B02;FAM;D3;26,82;2000;PZON;0,2;-0,698970004
B03;FAM;D3;26,66;2000;PZON;0,2;-0,698970004
B04;FAM;D3;26,57;2000;PZON;0,2;-0,698970004
B05;FAM;D3;26,56;2000;PZON;0,2;-0,698970004
B06;FAM;D3;26,65;2000;PZON;0,2;-0,698970004
B07;FAM;D3;26,16;2000;PZON;0,2;-0,698970004
B08;FAM;D3;26,46;2000;PZON;0,2;-0,698970004
B09;FAM;D3;26,53;2000;PZON;0,2;-0,698970004
B10;FAM;D3;26,48;2000;PZON;0,2;-0,698970004
C01;FAM;D4;29,97;200;PZON;0,02;-1,698970004
C02;FAM;D4;30;200;PZON;0,02;-1,698970004
C03;FAM;D4;29,88;200;PZON;0,02;-1,698970004
C04;FAM;D4;30,07;200;PZON;0,02;-1,698970004
C05;FAM;D4;29,79;200;PZON;0,02;-1,698970004
C06;FAM;D4;29,98;200;PZON;0,02;-1,698970004
C07;FAM;D4;29,8;200;PZON;0,02;-1,698970004
C08;FAM;D4;29,97;200;PZON;0,02;-1,698970004
C09;FAM;D4;30,12;200;PZON;0,02;-1,698970004
C10;FAM;D4;29,88;200;PZON;0,02;-1,698970004
D01;FAM;D5;33,56;20;PZON;0,002;-2,698970004
D02;FAM;D5;33,48;20;PZON;0,002;-2,698970004
D03;FAM;D5;33,44;20;PZON;0,002;-2,698970004
D04;FAM;D5;33,46;20;PZON;0,002;-2,698970004
D05;FAM;D5;33,56;20;PZON;0,002;-2,698970004
D06;FAM;D5;0;20;PZON;0,002;-2,698970004
D07;FAM;D5;34,2;20;PZON;0,002;-2,698970004
D08;FAM;D5;33,63;20;PZON;0,002;-2,698970004
D09;FAM;D5;33,66;20;PZON;0,002;-2,698970004
D10;FAM;D5;33,09;20;PZON;0,002;-2,698970004
E01;FAM;D6;36,71;2;PZON;0,0002;-3,698970004
E02;FAM;D6;37,05;2;PZON;0,0002;-3,698970004
E03;FAM;D6;36,82;2;PZON;0,0002;-3,698970004
E04;FAM;D6;36,13;2;PZON;0,0002;-3,698970004
E05;FAM;D6;37,15;2;PZON;0,0002;-3,698970004
E06;FAM;D6;33,18;2;PZON;0,0002;-3,698970004
E07;FAM;D6;36,57;2;PZON;0,0002;-3,698970004
E08;FAM;D6;36,58;2;PZON;0,0002;-3,698970004
E09;FAM;D6;37,17;2;PZON;0,0002;-3,698970004
E10;FAM;D6;37,12;2;PZON;0,0002;-3,698970004
F01;FAM;D7;0;0,2;PZON;0,00002;-4,698970004
F02;FAM;D7;39,81;0,2;PZON;0,00002;-4,698970004
F03;FAM;D7;41,12;0,2;PZON;0,00002;-4,698970004
F04;FAM;D7;0;0,2;PZON;0,00002;-4,698970004
F05;FAM;D7;39,17;0,2;PZON;0,00002;-4,698970004
F06;FAM;D7;39,2;0,2;PZON;0,00002;-4,698970004
F07;FAM;D7;40,45;0,2;PZON;0,00002;-4,698970004
F08;FAM;D7;31,3;0,2;PZON;0,00002;-4,698970004
F09;FAM;D7;40,05;0,2;PZON;0,00002;-4,698970004
F10;FAM;D7;36,97;0,2;PZON;0,00002;-4,698970004
G01;FAM;D8;0;0,02;PZON;0,000002;-5,698970004
G02;FAM;D8;0;0,02;PZON;0,000002;-5,698970004
G03;FAM;D8;0;0,02;PZON;0,000002;-5,698970004
G04;FAM;D8;0;0,02;PZON;0,000002;-5,698970004
G05;FAM;D8;41,84;0,02;PZON;0,000002;-5,698970004
G06;FAM;D8;0;0,02;PZON;0,000002;-5,698970004
G07;FAM;D8;0;0,02;PZON;0,000002;-5,698970004
G08;FAM;D8;40,09;0,02;PZON;0,000002;-5,698970004
G09;FAM;D8;0;0,02;PZON;0,000002;-5,698970004
G10;FAM;D8;0;0,02;PZON;0,000002;-5,698970004
H01;FAM;D9;0;0,002;PZON;0,0000002;-6,698970004
H02;FAM;D9;0;0,002;PZON;0,0000002;-6,698970004
H03;FAM;D9;0;0,002;PZON;0,0000002;-6,698970004
H04;FAM;D9;0;0,002;PZON;0,0000002;-6,698970004
H05;FAM;D9;0;0,002;PZON;0,0000002;-6,698970004
H06;FAM;D9;0;0,002;PZON;0,0000002;-6,698970004
H07;FAM;D9;0;0,002;PZON;0,0000002;-6,698970004
H08;FAM;D9;41,02;0,002;PZON;0,0000002;-6,698970004
H09;FAM;D9;0;0,002;PZON;0,0000002;-6,698970004
H10;FAM;D9;0;0,002;PZON;0,0000002;-6,698970004
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
