Jour;Nb.ecrevisse;Qui;Rep;Ct;;;;;;;
1;1;Gus;1;55;;;;;;;
1;1;Gus;2;55;;;;;;;
1;1;Gus;3;55;;;;;;;
1;1;Gus;4;40,96;;;;;;;
1;1;Gus;5;37,75;;;;;;;
1;1;Gus;6;55;;;;;;;
1;1;LN;1;55;;;;;;;
1;1;LN;2;40,06;;;;;;;
1;1;LN;3;55;;;;;;;
1;1;LN;4;44,88;;;;;;;
1;1;LN;5;55;;;;;;;
1;1;LN;6;40,28;;;;;;;
1;3;Gus;1;37,39;;;;;;;
1;3;Gus;2;36,79;;;;;;;
1;3;Gus;3;37,54;;;;;;;
1;3;Gus;4;36,09;;;;;;;
1;3;Gus;5;38;;;;;;;
1;3;Gus;6;38,35;;;;;;;
1;3;LN;1;36,19;;;;;;;
1;3;LN;2;36,35;;;;;;;
1;3;LN;3;36,52;;;;;;;
1;3;LN;4;36,59;;;;;;;
1;3;LN;5;36,62;;;;;;;
1;3;LN;6;37,91;;;;;;;
1;5;Gus;1;37,79;;;;;;;
1;5;Gus;2;37,62;;;;;;;
1;5;Gus;3;37,52;;;;;;;
1;5;Gus;4;37,66;;;;;;;
1;5;Gus;5;36,94;;;;;;;
1;5;Gus;6;36,88;;;;;;;
1;5;LN;1;33,94;;;;;;;
1;5;LN;2;33,93;;;;;;;
1;5;LN;3;34,1;;;;;;;
1;5;LN;4;33,96;;;;;;;
1;5;LN;5;34,13;;;;;;;
1;5;LN;6;34,19;;;;;;;
2;1;Gus;1;39,17;;;;;;;
2;1;Gus;2;38,8;;;;;;;
2;1;Gus;3;39,08;;;;;;;
2;1;Gus;4;40,4;;;;;;;
2;1;Gus;5;38,19;;;;;;;
2;1;Gus;6;41,14;;;;;;;
2;1;LN;1;55;;;;;;;
2;1;LN;2;55;;;;;;;
2;1;LN;3;55;;;;;;;
2;1;LN;4;55;;;;;;;
2;1;LN;5;55;;;;;;;
2;1;LN;6;55;;;;;;;
2;3;Gus;1;38,38;;;;;;;
2;3;Gus;2;38,45;;;;;;;
2;3;Gus;3;38,89;;;;;;;
2;3;Gus;4;38,19;;;;;;;
2;3;Gus;5;38,91;;;;;;;
2;3;Gus;6;38,83;;;;;;;
2;3;LN;1;37;;;;;;;
2;3;LN;2;37,58;;;;;;;
2;3;LN;3;37,27;;;;;;;
2;3;LN;4;37,98;;;;;;;
2;3;LN;5;37,86;;;;;;;
2;3;LN;6;37,07;;;;;;;
2;5;Gus;1;36,94;;;;;;;
2;5;Gus;2;36,89;;;;;;;
2;5;Gus;3;36,84;;;;;;;
2;5;Gus;4;36,6;;;;;;;
2;5;Gus;5;35,99;;;;;;;
2;5;Gus;6;36,17;;;;;;;
2;5;LN;1;37,7;;;;;;;
2;5;LN;2;38,27;;;;;;;
2;5;LN;3;38,62;;;;;;;
2;5;LN;4;38,51;;;;;;;
2;5;LN;5;37,22;;;;;;;
2;5;LN;6;37,63;;;;;;;
5;1;Gus;1;38;;;;;;;
5;1;Gus;2;38,38;;;;;;;
5;1;Gus;3;38,16;;;;;;;
5;1;Gus;4;37,31;;;;;;;
5;1;Gus;5;36,22;;;;;;;
5;1;Gus;6;37,25;;;;;;;
5;1;LN;1;39,48;;;;;;;
5;1;LN;2;39,52;;;;;;;
5;1;LN;3;38,7;;;;;;;
5;1;LN;4;38,72;;;;;;;
5;1;LN;5;38,97;;;;;;;
5;1;LN;6;37,85;;;;;;;
5;3;Gus;1;37,4;;;;;;;
5;3;Gus;2;38,55;;;;;;;
5;3;Gus;3;36,51;;;;;;;
5;3;Gus;4;38,29;;;;;;;
5;3;Gus;5;37,98;;;;;;;
5;3;Gus;6;37,99;;;;;;;
5;3;LN;1;35,61;;;;;;;
5;3;LN;2;35,75;;;;;;;
5;3;LN;3;35,69;;;;;;;
5;3;LN;4;35,67;;;;;;;
5;3;LN;5;35,67;;;;;;;
5;3;LN;6;35,55;;;;;;;
5;5;Gus;1;40,38;;;;;;;
5;5;Gus;2;39,07;;;;;;;
5;5;Gus;3;39,53;;;;;;;
5;5;Gus;4;55;;;;;;;
5;5;Gus;5;39,32;;;;;;;
5;5;Gus;6;40,22;;;;;;;
5;5;LN;1;32,23;;;;;;;
5;5;LN;2;32,2;;;;;;;
5;5;LN;3;32,26;;;;;;;
5;5;LN;4;32,05;;;;;;;
5;5;LN;5;32,22;;;;;;;
5;5;LN;6;32,13;;;;;;;
8;1;Gus;1;38,71;;;;;;;
8;1;Gus;2;39,07;;;;;;;
8;1;Gus;3;39,34;;;;;;;
8;1;Gus;4;38,85;;;;;;;
8;1;Gus;5;37,86;;;;;;;
8;1;Gus;6;38,68;;;;;;;
8;1;LN;1;55;;;;;;;
8;1;LN;2;55;;;;;;;
8;1;LN;3;55;;;;;;;
8;1;LN;4;55;;;;;;;
8;1;LN;5;42,51;;;;;;;
8;1;LN;6;46,55;;;;;;;
8;3;Gus;1;37,74;;;;;;;
8;3;Gus;2;36,87;;;;;;;
